2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
2	2	4	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	6	2	
2	2	10	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	12	2	
8	8	9	11	5	5	5	5	5	5	11	5	5	5	5	5	5	5	5	7	8	
14	14	15	5	5	5	11	5	5	5	5	5	5	11	5	5	5	11	5	13	14	
11	11	5	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	
5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	11	5	
5	5	5	5	5	5	5	5	5	5	5	11	5	5	5	11	5	5	5	5	5	
17	17	3	5	5	5	5	5	11	5	5	5	5	5	5	5	5	11	5	1	17	
2	2	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	12	2	
2	2	16	17	17	17	17	17	3	5	5	11	5	1	17	17	17	17	17	18	2	
2	2	2	2	2	2	2	2	10	5	5	5	5	12	2	2	2	2	2	2	2	
